popularity,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,size
0.44502617801047123,0.25,0.5,0.5,0.75,0.75,0.18449250666930017
0.7382198952879582,0.25,0.5,0.5,0.75,0.75,0.509472943493901
0.2094240837696335,0.25,0.5,0.5,0.25,0.5,0.6056142657769115
0.49738219895287966,0.25,0.25,0.5,0.25,0.0,0.7373023746771833
0.03664921465968587,0.25,0.5,0.5,0.5,0.25,0.6882165599385153
0.42408376963350786,0.25,0.25,1.0,0.5,0.75,0.10900285197446152
0.49738219895287966,0.25,0.0,0.5,0.5,0.75,0.06194843847788997
0.49738219895287966,0.5,0.0,0.5,0.5,0.75,0.06618006854568642
0.2460732984293194,0.25,0.5,0.5,0.5,0.75,0.8984408783728851
0.6230366492146597,0.0,0.25,0.75,0.25,0.25,0.5209816644209824
0.3036649214659686,0.5,0.5,0.75,0.25,0.75,0.4319518875569659
0.49738219895287966,0.25,0.5,0.5,0.75,0.5,0.33818180977880075
0.5445026178010473,0.25,0.5,0.75,0.25,0.5,0.12186656976145438
0.8219895287958117,0.0,0.5,0.5,0.25,0.5,0.7416995501852705
0.29319371727748694,0.5,0.25,0.5,0.25,0.5,0.11712845694284746
0.8534031413612566,0.5,0.5,0.5,0.25,0.5,0.13845543486543327
0.1256544502617801,0.5,0.5,0.5,1.0,0.25,0.20243418053764878
0.22513089005235604,0.25,0.5,0.5,0.25,0.25,0.21191259427040443
0.09947643979057591,0.75,0.0,0.5,0.5,0.75,0.08699946966969085
0.49738219895287966,0.25,0.5,0.5,0.5,0.5,0.3818509192211351
0.06806282722513089,0.25,0.5,0.75,0.25,0.75,0.43296704115412876
0.5811518324607331,0.5,0.25,0.5,0.5,0.5,0.07379700266772007
0.9267015706806284,0.75,0.5,0.5,0.25,0.25,0.18009533116121307
1.0000000000000002,0.25,0.0,0.5,0.25,0.25,0.506085451344122
0.49738219895287966,0.0,0.25,0.75,0.25,1.0,0.5189513572266568
0.49738219895287966,0.25,0.75,0.25,0.5,0.5,0.6178015791817195
0.49738219895287966,0.0,0.5,0.5,0.5,0.5,0.33141120167032634
0.49738219895287966,0.0,0.5,1.0,0.5,0.75,0.4224734738242102
0.6387434554973823,0.25,0.25,0.75,0.5,0.75,0.20006403008057444
0.27225130890052357,0.5,0.0,0.75,0.25,0.5,0.31956263748049624
0.7958115183246074,1.0,0.0,0.75,1.0,0.25,0.3317499508853043
0.49738219895287966,0.0,0.5,0.75,0.75,0.5,0.4082558532250766
0.41361256544502617,0.25,0.25,0.75,0.0,0.75,0.24915093886701334
0.46073298429319376,0.5,0.0,0.5,0.25,0.75,0.34596757148443785
0.9371727748691101,0.5,0.5,0.5,0.25,0.25,0.26066184788963653
0.49738219895287966,0.25,0.5,0.5,0.0,0.5,0.3280258976160892
0.8795811518324609,0.0,0.5,1.0,1.0,0.75,0.19227990944659368
0.49738219895287966,0.25,0.5,1.0,0.75,0.25,0.32227044310477754
0.49738219895287966,0.25,0.5,0.75,1.0,0.75,0.13371513395128448
0.49738219895287966,0.0,0.5,0.75,0.25,0.25,0.46309602842728526
0.680628272251309,0.5,0.5,0.5,0.25,0.5,0.7061582338068638
0.617801047120419,0.25,0.5,0.25,0.5,0.5,0.09004602450895008
0.49738219895287966,0.5,0.5,0.75,0.25,0.25,0.2349322242201089
0.49738219895287966,0.0,0.25,0.25,0.5,0.25,0.7941783273125721
0.5759162303664922,0.25,0.25,0.75,1.0,0.75,0.0671952221428492
0.49738219895287966,0.25,0.5,1.0,0.0,0.5,0.5010096833583082
0.49738219895287966,0.25,0.25,0.5,0.5,0.5,0.3744028126827049
0.712041884816754,0.0,0.5,0.5,0.25,0.75,0.5084577898967383
0.15706806282722513,0.25,0.5,0.75,1.0,0.75,0.46241852999732946
0.18324607329842932,0.25,0.5,1.0,1.0,0.75,0.5792093317729701
0.6649214659685865,0.25,0.5,0.75,0.75,0.75,0.35341567802286794
0.5549738219895288,0.5,0.25,0.75,0.5,1.0,0.21191259427040454
0.21465968586387435,0.75,0.5,0.5,0.5,0.75,0.11814361054001027
0.49738219895287966,0.0,0.25,0.5,0.0,0.25,0.33683118910997284
0.31413612565445026,0.0,0.25,0.5,0.25,0.25,0.3490130322759261
0.5235602094240839,0.25,0.0,0.5,0.5,0.5,0.20006403008057444
0.33507853403141363,0.25,0.5,1.0,0.5,0.5,0.4546327682916924
0.8691099476439792,0.0,0.5,0.75,0.5,0.5,0.4867920627591745
0.49738219895287966,0.0,0.5,0.75,0.25,0.5,0.42585768383067646
0.7277486910994765,0.0,0.0,0.75,0.5,0.5,0.2826641361466362
0.49738219895287966,0.25,0.5,0.75,0.0,0.25,0.4377062480205065
0.04712041884816754,1.0,0.0,0.5,0.0,0.75,0.02572743557398574
0.49738219895287966,0.25,0.75,0.75,0.75,0.25,0.517936203629494
0.49738219895287966,0.5,0.5,0.25,1.0,1.0,0.05077737271801569
0.49738219895287966,0.0,0.25,0.75,0.75,0.5,0.5602525043074587
0.49738219895287966,0.25,0.5,1.0,0.5,0.5,0.4939014200826267
0.49738219895287966,0.0,0.5,0.75,0.75,0.75,0.11238815602869867
0.49738219895287966,0.0,0.25,1.0,1.0,0.25,0.25693560652487957
